entidad,Estado,mun,Municipio,loc,nom_loc,ageb,mza,pobtot,Hombres,Mujeres,p_0a2,p_0a2_m,p_0a2_f,p_3ymas,p_3ymas_m,p_3ymas_f,p_5ymas,p_5ymas_m,p_5ymas_f,p_12ymas,p_12ymas_m,p_12ymas_f,p_15ymas,p_15ymas_m,p_15ymas_f,p_18ymas,p_18ymas_m,p_18ymas_f,p_3a5,p_3a5_m,p_3a5_f,p_6a11,p_6a11_m,p_6a11_f,p_8a14,p_8a14_m,p_8a14_f,p_12a14,p_12a14_m,p_12a14_f,p_15a17,p_15a17_m,p_15a17_f,p_18a24,p_18a24_m,p_18a24_f,p_15a49_f,p_60ymas,p_60ymas_m,p_60ymas_f,rel_h_m,pob0_14,pob15_64,pob65_mas,prom_hnv,pnacent,pnacent_m,pnacent_f,pnacoe,pnacoe_m,pnacoe_f,pres2005,pres2005_m,pres2005_f,presoe05,presoe05_m,presoe05_f,p3ym_hli,p3ym_hli_m,p3ym_hli_f,p3hlinhe,p3hlinhe_m,p3hlinhe_f,p3hli_he,p3hli_he_m,p3hli_he_f,p5_hli,p5_hli_nhe,p5_hli_he,phog_ind,pcon_lim,pclim_mot,pclim_vis,pclim_leng,pclim_aud,pclim_mot2,pclim_men,pclim_men2,psin_lim,p3a5_noa,p3a5_noa_m,p3a5_noa_f,p6a11_noa,p6a11_noam,p6a11_noaf,p12a14noa,p12a14noam,p12a14noaf,p15a17a,p15a17a_m,p15a17a_f,p18a24a,p18a24a_m,p18a24a_f,p8a14an,p8a14an_m,p8a14an_f,p15ym_an,p15ym_an_m,p15ym_an_f,p15ym_se,p15ym_se_m,p15ym_se_f,p15pri_in,p15pri_inm,p15pri_inf,p15pri_co,p15pri_com,p15pri_cof,p15sec_in,p15sec_inm,p15sec_inf,p15sec_co,p15sec_com,p15sec_cof,p18ym_pb,p18ym_pb_m,p18ym_pb_f,graproes,graproes_m,graproes_f,pea,pea_m,pea_f,pe_inac,pe_inac_m,pe_inac_f,pocupada,pocupada_m,pocupada_f,pdesocup,pdesocup_m,pdesocup_f,psinder,pder_ss,pder_imss,pder_iste,pder_istee,pder_segp,p12ym_solt,p12ym_casa,p12ym_sepa,pcatolica,pncatolica,potras_rel,psin_relig,tothog,hogjef_m,hogjef_f,pobhog,phogjef_m,phogjef_f,vivtot,tvivhab,tvivpar,vivpar_hab,tvivparhab,vivpar_des,vivpar_ut,ocupvivpar,prom_ocup,pro_ocup_c,vph_pisodt,vph_pisoti,vph_1dor,vph_2ymasd,vph_1cuart,vph_2cuart,vph_3ymasc,vph_c_elec,vph_s_elec,vph_aguadv,vph_aguafv,vph_excsa,vph_drenaj,vph_nodren,vph_c_serv,vph_snbien,vph_radio,vph_tv,vph_refri,vph_lavad,vph_autom,vph_pc,vph_telef,vph_cel,vph_inter
19,Nuevo León,39,Monterrey,0,Total del municipio,0,0,1135550,561656,573894,51152,26034,25118,1070845,528852,541993,1035339,510924,524415,904954,444784,460170,851773,417744,434029,796322,389710,406612,53279,26985,26294,112612,57083,55529,129254,65686,63568,53181,27040,26141,55451,28034,27417,139237,70680,68557,302689,135735,60625,75110,97.87,270224,758423,93350,2.13,842459,419416,423043,252640,121766,130874,972720,479472,493248,35460,17471,17989,11486,5501,5985,24,4,20,9107,4307,4800,11382,24,9054,18662,43340,23620,12422,3487,4214,2638,1723,5410,1055836,19286,9753,9533,2628,1423,1205,2805,1494,1311,37942,19163,18779,45167,24037,21130,2063,1219,844,19246,7838,11408,26045,11305,14740,64125,28444,35681,105368,47144,58224,36276,20299,15977,187147,96188,90959,379997,192360,187637,10.27,10.51,10.05,488181,314922,173259,400050,121219,278831,465522,297564,167958,22659,17358,5301,265034,837548,612050,34653,7572,90816,319045,474486,95811,945037,108112,1084,42559,293539,223034,70505,1116722,884411,232311,346207,297825,341921,293539,297668,37069,11313,1116722,3.8,0.85,280536,5546,76784,209778,10542,26437,249224,287183,278,283836,2824,285785,285225,1134,282203,608,248025,282642,276295,249910,167054,131994,197039,218955,114816
19,Nuevo León,19,San Pedro Garza García,0,Total del municipio,0,0,122659,57622,65037,3900,1988,1912,110865,51684,59181,108108,50301,57807,97513,44928,52585,92727,42457,50270,87069,39734,47335,4161,2086,2075,9191,4670,4521,11146,5713,5433,4786,2471,2315,5658,2723,2935,18492,7885,10607,34848,15365,7002,8363,88.6,22038,82371,10356,1.85,76485,37645,38840,30851,12393,18458,94446,44735,49711,6927,2242,4685,2658,610,2048,3,0,3,2103,433,1670,2650,3,2099,1573,3009,1740,763,282,336,249,153,456,106460,966,491,475,211,107,104,167,91,76,4202,2175,2027,8438,4181,4257,93,51,42,1283,492,791,1763,679,1084,4043,1539,2504,6902,2383,4519,2292,1069,1223,15146,6375,8771,55261,27220,28041,12.09,12.75,11.53,52078,30167,21911,41257,12764,28493,50656,29155,21501,1422,1012,410,19264,90549,48237,1793,387,3638,39007,46178,8471,100518,6290,262,2218,29434,22796,6638,114667,94047,20620,35690,31936,33188,29434,31914,3053,701,114667,3.9,0.69,28045,368,4413,23654,423,1027,26577,28646,6,28501,41,28540,28456,28,28366,26,26102,28193,28040,26846,22741,20795,24698,24858,19632
